rank,image_id,file_name,split,total_tooth_count,n_duplicate_codes,duplicate_codes,n_missing_codes,missing_codes,n_position_violations,n_wrong_quadrant_both_axes,likely_global_framing,position_violation_detail,anomaly_score,primary_reason,reason_breakdown
18,train_quadrant_enumeration_disease_187,train_496.png,train_quadrant_enumeration_disease,2,1,46x2,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,9.55,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.55), sparse_annotation(+5.0)"
19,train_quadrant_enumeration_disease_174,train_243.png,train_quadrant_enumeration_disease,3,1,25x2,30,"11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,9.5,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.50), sparse_annotation(+5.0)"
20,train_quadrant_enumeration_disease_688,train_607.png,train_quadrant_enumeration_disease,3,1,46x2,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,9.5,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.50), sparse_annotation(+5.0)"
21,train_quadrant_enumeration_disease_653,train_350.png,train_quadrant_enumeration_disease,3,1,47x2,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 48",0,0,False,-,9.5,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.50), sparse_annotation(+5.0)"
22,train_quadrant_enumeration_disease_447,train_377.png,train_quadrant_enumeration_disease,3,1,43x2,30,"11, 12, 13, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 44, 45, 46, 47, 48",0,0,False,-,9.5,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.50), sparse_annotation(+5.0)"
23,validation_triple_24,val_18.png,validation_triple,3,1,46x2,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,9.5,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.50), sparse_annotation(+5.0)"
24,train_quadrant_enumeration_disease_118,train_66.png,train_quadrant_enumeration_disease,3,1,36x2,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,9.5,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.50), sparse_annotation(+5.0)"
25,train_quadrant_enumeration_disease_548,train_39.png,train_quadrant_enumeration_disease,4,1,48x2,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 37, 38, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,9.45,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.45), sparse_annotation(+5.0)"
26,train_quadrant_enumeration_disease_543,train_433.png,train_quadrant_enumeration_disease,4,1,44x2,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 38, 41, 42, 43, 45, 46, 47, 48",0,0,False,-,9.45,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.45), sparse_annotation(+5.0)"
27,train_quadrant_enumeration_disease_204,train_177.png,train_quadrant_enumeration_disease,4,1,37x2,29,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 48",0,0,False,-,9.45,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.45), sparse_annotation(+5.0)"
28,train_quadrant_enumeration_disease_643,train_97.png,train_quadrant_enumeration_disease,4,1,38x2,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,9.45,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.45), sparse_annotation(+5.0)"
29,train_quadrant_enumeration_disease_390,train_689.png,train_quadrant_enumeration_disease,4,1,37x2,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 36, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,9.45,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.45), sparse_annotation(+5.0)"
30,validation_triple_33,val_14.png,validation_triple,5,1,37x2,28,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 26, 27, 28, 31, 32, 33, 34, 35, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,9.4,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.40), sparse_annotation(+5.0)"
31,train_quadrant_enumeration_disease_610,train_397.png,train_quadrant_enumeration_disease,5,1,36x2,28,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 38, 41, 42, 43, 44, 45, 46, 48",0,0,False,-,9.4,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.40), sparse_annotation(+5.0)"
32,train_quadrant_enumeration_disease_155,train_485.png,train_quadrant_enumeration_disease,5,1,25x2,28,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,9.4,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.40), sparse_annotation(+5.0)"
33,train_quadrant_enumeration_disease_394,train_94.png,train_quadrant_enumeration_disease,6,1,37x2,27,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 45, 47, 48",0,0,False,-,9.35,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.35), sparse_annotation(+5.0)"
34,train_quadrant_enumeration_disease_410,train_59.png,train_quadrant_enumeration_disease,6,1,36x2,27,"11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 48",0,0,False,-,9.35,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.35), sparse_annotation(+5.0)"
35,train_quadrant_enumeration_disease_532,train_640.png,train_quadrant_enumeration_disease,6,1,46x2,27,"11, 12, 13, 14, 15, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,9.35,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.35), sparse_annotation(+5.0)"
36,train_quadrant_enumeration_disease_516,train_212.png,train_quadrant_enumeration_disease,6,1,46x2,27,"11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 41, 42, 43, 44, 45, 47",0,0,False,-,9.35,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.35), sparse_annotation(+5.0)"
37,train_quadrant_enumeration_disease_645,train_197.png,train_quadrant_enumeration_disease,6,1,47x2,27,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 48",0,0,False,-,9.35,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.35), sparse_annotation(+5.0)"
38,train_quadrant_enumeration_disease_254,train_85.png,train_quadrant_enumeration_disease,6,1,47x2,27,"11, 12, 13, 14, 15, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 48",0,0,False,-,9.35,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.35), sparse_annotation(+5.0)"
39,train_quadrant_enumeration_disease_552,train_644.png,train_quadrant_enumeration_disease,6,1,17x2,27,"11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 36, 37, 38, 41, 42, 44, 45, 46, 47",0,0,False,-,9.35,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.35), sparse_annotation(+5.0)"
40,train_quadrant_enumeration_disease_63,train_592.png,train_quadrant_enumeration_disease,6,1,36x2,27,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 26, 27, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 46, 48",0,0,False,-,9.35,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.35), sparse_annotation(+5.0)"
41,train_quadrant_enumeration_disease_117,train_452.png,train_quadrant_enumeration_disease,6,1,35x2,27,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 28, 31, 32, 33, 34, 36, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,9.35,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.35), sparse_annotation(+5.0)"
42,train_quadrant_enumeration_disease_141,train_250.png,train_quadrant_enumeration_disease,6,1,47x2,27,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44",0,0,False,-,9.35,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.35), sparse_annotation(+5.0)"
43,train_quadrant_enumeration_disease_13,train_581.png,train_quadrant_enumeration_disease,6,1,36x2,27,"11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 38, 41, 42, 43, 44, 45, 48",0,0,False,-,9.35,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.35), sparse_annotation(+5.0)"
44,train_quadrant_enumeration_disease_436,train_406.png,train_quadrant_enumeration_disease,7,1,35x2,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 41, 42, 43, 44, 45, 46",0,0,False,-,9.3,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.30), sparse_annotation(+5.0)"
45,train_quadrant_enumeration_disease_290,train_14.png,train_quadrant_enumeration_disease,7,1,46x2,26,"11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,9.3,sparse_annotation,"duplicate_codes(+3.0), missing_codes(+1.30), sparse_annotation(+5.0)"
46,train_quadrant_enumeration_disease_512,train_650.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",1,0,False,"17: expected image-left (x<=0.55), got x=0.767",8.55,sparse_annotation,"single_axis_position(+2.0), missing_codes(+1.55), sparse_annotation(+5.0)"
47,validation_triple_36,val_47.png,validation_triple,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",1,0,False,"28: expected image-upper (y<=0.55), got y=0.551",8.5,sparse_annotation,"single_axis_position(+2.0), missing_codes(+1.50), sparse_annotation(+5.0)"
48,validation_triple_15,val_24.png,validation_triple,2,0,-,30,"11, 12, 13, 14, 15, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",1,0,False,"16: expected image-upper (y<=0.55), got y=0.556",8.5,sparse_annotation,"single_axis_position(+2.0), missing_codes(+1.50), sparse_annotation(+5.0)"
49,train_quadrant_enumeration_490,train_18.png,train_quadrant_enumeration,31,0,-,1,46,4,0,True,"21: expected image-upper (y<=0.55), got y=0.556; 11: expected image-upper (y<=0.55), got y=0.556; 12: expected image-upper (y<=0.55), got y=0.551; 22: expected image-upper (y<=0.55), got y=0.552",8.05,single_axis_position,"single_axis_position(+8.0), missing_codes(+0.05)"
50,train_quadrant_enumeration_disease_481,train_267.png,train_quadrant_enumeration_disease,9,1,46x3,25,"11, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 27, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 47",0,0,False,-,7.25,duplicate_codes,"duplicate_codes(+6.0), missing_codes(+1.25)"
51,train_quadrant_enumeration_disease_144,train_451.png,train_quadrant_enumeration_disease,9,2,"28x2, 36x2",25,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 31, 32, 33, 34, 35, 38, 41, 42, 43, 45, 46, 47",0,0,False,-,7.25,duplicate_codes,"duplicate_codes(+6.0), missing_codes(+1.25)"
52,train_quadrant_enumeration_disease_359,train_557.png,train_quadrant_enumeration_disease,9,2,"36x2, 45x2",25,"11, 12, 13, 14, 17, 21, 22, 23, 24, 25, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 46, 47, 48",0,0,False,-,7.25,duplicate_codes,"duplicate_codes(+6.0), missing_codes(+1.25)"
53,train_quadrant_enumeration_disease_75,train_294.png,train_quadrant_enumeration_disease,10,2,"17x2, 26x2",24,"11, 12, 13, 14, 15, 21, 22, 23, 25, 27, 28, 31, 32, 33, 35, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,7.2,duplicate_codes,"duplicate_codes(+6.0), missing_codes(+1.20)"
54,train_quadrant_enumeration_disease_536,train_481.png,train_quadrant_enumeration_disease,14,2,"48x2, 44x2",20,"11, 12, 18, 21, 22, 23, 24, 28, 31, 32, 33, 35, 37, 38, 41, 42, 43, 45, 46, 47",0,0,False,-,7.0,duplicate_codes,"duplicate_codes(+6.0), missing_codes(+1.00)"
55,train_quadrant_enumeration_disease_400,train_489.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
56,train_quadrant_enumeration_disease_408,train_122.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
57,train_quadrant_enumeration_disease_156,train_436.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
58,train_quadrant_enumeration_disease_148,train_273.png,train_quadrant_enumeration_disease,23,2,"36x2, 45x2",11,"14, 17, 25, 31, 32, 33, 41, 42, 43, 44, 46",0,0,False,-,6.55,duplicate_codes,"duplicate_codes(+6.0), missing_codes(+0.55)"
59,train_quadrant_enumeration_disease_402,train_116.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
60,train_quadrant_enumeration_disease_444,train_106.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
61,train_quadrant_enumeration_disease_423,train_469.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
62,train_quadrant_enumeration_disease_437,train_24.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
63,train_quadrant_enumeration_disease_393,train_173.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
64,train_quadrant_enumeration_disease_132,train_199.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
65,train_quadrant_enumeration_disease_120,train_500.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
66,train_quadrant_enumeration_disease_453,train_306.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
67,train_quadrant_enumeration_disease_114,train_58.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
68,train_quadrant_enumeration_disease_495,train_398.png,train_quadrant_enumeration_disease,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
