rank,label_file,image_id,total_tooth_count,n_duplicate_codes,duplicate_codes,n_missing_codes,missing_codes,n_position_violations,n_wrong_quadrant_both_axes,likely_global_framing,position_violation_detail,anomaly_score,primary_reason,reason_breakdown
11,cate7-00002_jpg.rf.f08b4f058e2184b7ecb9b193c5634d7b.txt,cate7-00002,29,0,-,3,"36, 41, 46",4,0,True,"48: expected image-lower (y>=0.45), got y=0.349; 47: expected image-lower (y>=0.45), got y=0.422; 37: expected image-lower (y>=0.45), got y=0.426; 38: expected image-lower (y>=0.45), got y=0.365",8.15,single_axis_position,"single_axis_position(+8.0), missing_codes(+0.15)"
12,cate7-00002_jpg.rf.261b61cdff53632dae102509f163d684.txt,cate7-00002,29,0,-,3,"36, 41, 46",4,0,True,"48: expected image-lower (y>=0.45), got y=0.369; 47: expected image-lower (y>=0.45), got y=0.443; 37: expected image-lower (y>=0.45), got y=0.447; 38: expected image-lower (y>=0.45), got y=0.384",8.15,single_axis_position,"single_axis_position(+8.0), missing_codes(+0.15)"
13,cate6-00065_jpg.rf.d1e79ad9990982e950ae2c9885d88088.txt,cate6-00065,30,1,36x2,3,"17, 35, 45",1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.303; expected image-lower (y>=0.45), got y=0.402",8.15,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.15)"
14,cate6-00065_jpg.rf.098061df411a43ab45e50349d23fc1aa.txt,cate6-00065,30,1,36x2,3,"17, 35, 45",1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.296; expected image-lower (y>=0.45), got y=0.385",8.15,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.15)"
15,cate6-00014_jpg.rf.f5f234a504b228381e83f552218fb23d.txt,cate6-00014,30,1,36x2,3,"14, 35, 45",1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.432; expected image-lower (y>=0.45), got y=0.396",8.15,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.15)"
16,cate6-00014_jpg.rf.7f16a15b6dfcdc9c6faaaba7a56a8f13.txt,cate6-00014,30,1,36x2,3,"14, 35, 45",1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.428; expected image-lower (y>=0.45), got y=0.405",8.15,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.15)"
17,cate6-00065_jpg.rf.2c543260f3d2116dc86c6bac2da6b296.txt,cate6-00065,30,1,36x2,3,"17, 35, 45",1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.293; expected image-lower (y>=0.45), got y=0.386",8.15,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.15)"
18,cate6-00153_jpg.rf.f94a715c895a7cf7a599fd2e89debf93.txt,cate6-00153,32,2,"28x2, 36x2",2,"13, 38",1,0,False,"28: expected image-right (x>=0.45), got x=0.387",8.1,duplicate_codes,"duplicate_codes(+6.0), single_axis_position(+2.0), missing_codes(+0.10)"
19,cate6-00075_jpg.rf.ca4afe79ad1594b3fb8c3c41a72cfb10.txt,cate6-00075,32,1,36x2,1,13,1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.417; expected image-lower (y>=0.45), got y=0.312",8.05,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.05)"
20,cate6-00075_jpg.rf.39824d1ea3d6b29da81b5277f0c911a7.txt,cate6-00075,32,1,36x2,1,13,1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.445; expected image-lower (y>=0.45), got y=0.341",8.05,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.05)"
21,cate6-00075_jpg.rf.04c5dcc3e38725ebba32acd18aa69be8.txt,cate6-00075,32,1,36x2,1,13,1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.444; expected image-lower (y>=0.45), got y=0.341",8.05,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.05)"
22,cate5-00055_jpg.rf.f5ab103c5396aeb1587b0fd641ffb289.txt,cate5-00055,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
23,cate5-00019_jpg.rf.bcdce9a4ab87397f4e1ede7d00f15ec6.txt,cate5-00019,1,0,-,31,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
24,cate5-00019_jpg.rf.fa71179da0124d7c00ded63f57c87304.txt,cate5-00019,1,0,-,31,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
25,cate5-00019_jpg.rf.0bdea403aa040379bfc678546ea3137e.txt,cate5-00019,1,0,-,31,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
26,cate5-00055_jpg.rf.dfb8e53a29ac753bfafd430a73efbf33.txt,cate5-00055,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
27,cate5-00091_jpg.rf.65104d1b7286594e8e4a5d70e9550a09.txt,cate5-00091,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
28,cate5-00091_jpg.rf.dc0758bbcdd56f20746a77e7c8a75da1.txt,cate5-00091,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
29,cate5-00091_jpg.rf.e7083649281ecdc5d8d8c8f7857ef625.txt,cate5-00091,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
30,cate5-00055_jpg.rf.5182bc213333ceae7598c178b0cc42ff.txt,cate5-00055,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
31,cate10-00078_jpg.rf.41e9196b8b1d01a990eaf842bb5c273e.txt,cate10-00078,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 34, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
32,cate5-00007_jpg.rf.875910a4429adb2f8a817ac772717e58.txt,cate5-00007,2,0,-,30,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
33,cate10-00078_jpg.rf.cad2e108428fef369c64e5f495ac4861.txt,cate10-00078,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 34, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
34,cate10-00078_jpg.rf.c5d9cf951424801e5c5140d6550548d6.txt,cate10-00078,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 34, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
35,cate10-00099_jpg.rf.bd736ca3902c9f7e8415b4d73dab2198.txt,cate10-00099,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
36,cate10-00099_jpg.rf.9aed28ed71f4e0bfe8cc0216eecd074c.txt,cate10-00099,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
37,cate5-00001_jpg.rf.e4bb66bbdf06cd9feaeb0bb0f3cdd9f9.txt,cate5-00001,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
38,cate10-00099_jpg.rf.930b392526a8d7c5bd58de4ef8d8913b.txt,cate10-00099,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
39,cate8-00195_jpg.rf.06d0da0a3942e133215498a9ebe26eea.txt,cate8-00195,4,0,-,28,"11, 12, 13, 17, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.4,sparse_annotation,"missing_codes(+1.40), sparse_annotation(+5.0)"
40,cate8-00195_jpg.rf.b9d9ba94cf730ce7d645e68fef964f03.txt,cate8-00195,4,0,-,28,"11, 12, 13, 17, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.4,sparse_annotation,"missing_codes(+1.40), sparse_annotation(+5.0)"
41,cate8-00195_jpg.rf.855360f5c5540ea834197d3ce32887b2.txt,cate8-00195,4,0,-,28,"11, 12, 13, 17, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.4,sparse_annotation,"missing_codes(+1.40), sparse_annotation(+5.0)"
42,cate10-00113_jpg.rf.88e25cd5a826e102fec8f956ebc56c4e.txt,cate10-00113,5,0,-,27,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 31, 32, 34, 35, 36, 37, 38, 41, 42, 43, 44, 46, 48",0,0,False,-,6.35,sparse_annotation,"missing_codes(+1.35), sparse_annotation(+5.0)"
43,cate10-00113_jpg.rf.b131d93c8af80e729c75c2a4a0d403b0.txt,cate10-00113,5,0,-,27,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 31, 32, 34, 35, 36, 37, 38, 41, 42, 43, 44, 46, 48",0,0,False,-,6.35,sparse_annotation,"missing_codes(+1.35), sparse_annotation(+5.0)"
44,cate10-00113_jpg.rf.b8bd7fe7443cc844b2fcb3b38bea5256.txt,cate10-00113,5,0,-,27,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 31, 32, 34, 35, 36, 37, 38, 41, 42, 43, 44, 46, 48",0,0,False,-,6.35,sparse_annotation,"missing_codes(+1.35), sparse_annotation(+5.0)"
45,cate10-00056_jpg.rf.82b29d473ff0c5e901be3d2da752d1aa.txt,cate10-00056,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
46,cate10-00056_jpg.rf.8122111fefd7c62440c200a8d0d004c2.txt,cate10-00056,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
47,cate10-00048_jpg.rf.92983f684f1fd2a43753baeca42efb6d.txt,cate10-00048,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
48,cate10-00056_jpg.rf.e283da4454bc0607fd574ffbdbb20db6.txt,cate10-00056,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
49,cate10-00048_jpg.rf.63025d49d07345a479c96282bd6e590d.txt,cate10-00048,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
50,cate5-00025_jpg.rf.bfed93c6718d8e4fa12fdf802d73928d.txt,cate5-00025,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
51,cate5-00025_jpg.rf.187fe183453918816a59135b523c95ef.txt,cate5-00025,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
52,cate5-00025_jpg.rf.0e752b93c0c1391f4673d67543e73856.txt,cate5-00025,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
53,cate10-00048_jpg.rf.0c9e999cd4d1cb1347288a687b997f23.txt,cate10-00048,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
54,cate8-00191_jpg.rf.af4a0d06688f24f3fdf2304c4e23607e.txt,cate8-00191,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 36, 37, 38, 41, 44, 45, 46, 47, 48",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
55,cate5-00109_jpg.rf.b228b13645b1197647b308d0c2250412.txt,cate5-00109,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
56,cate10-00066_jpg.rf.258590bede3b77924430f33914476a9a.txt,cate10-00066,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 36, 37, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
57,cate10-00066_jpg.rf.8355b9cd10e8f695c8c144f96f578c72.txt,cate10-00066,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 36, 37, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
58,cate10-00066_jpg.rf.c1d56f5d8a5857b0c54d55c5760fec64.txt,cate10-00066,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 36, 37, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
59,cate8-00191_jpg.rf.856a6afd259fc24434201fdf1c9b37a0.txt,cate8-00191,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 36, 37, 38, 41, 44, 45, 46, 47, 48",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
60,cate5-00109_jpg.rf.427468e498777c6dbb3fc098cf5ec11e.txt,cate5-00109,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
61,cate8-00191_jpg.rf.6a5a2a0a3cc8b967672423b048cfaabf.txt,cate8-00191,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 36, 37, 38, 41, 44, 45, 46, 47, 48",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
62,cate5-00109_jpg.rf.efd2e021595b4237e2d25c0b186cf96b.txt,cate5-00109,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
63,cate7-00112_jpg.rf.e3a3f0e8c30d32171c474fc4b65abb24.txt,cate7-00112,29,0,-,3,"15, 36, 44",3,0,True,"26: expected image-upper (y<=0.55), got y=0.552; 24: expected image-upper (y<=0.55), got y=0.551; 23: expected image-upper (y<=0.55), got y=0.555",6.15,single_axis_position,"single_axis_position(+6.0), missing_codes(+0.15)"
64,cate4-00082_jpg.rf.0d143bf04358ac1bc4a8fd08dc77c4a7.txt,cate4-00082,32,0,-,0,-,3,0,True,"14: expected image-upper (y<=0.55), got y=0.552; 13: expected image-upper (y<=0.55), got y=0.570; 23: expected image-upper (y<=0.55), got y=0.578",6.0,single_axis_position,single_axis_position(+6.0)
65,cate4-00082_jpg.rf.12e20d9ca0d91e1bb95ca9b725394abc.txt,cate4-00082,32,0,-,0,-,3,0,True,"14: expected image-upper (y<=0.55), got y=0.551; 13: expected image-upper (y<=0.55), got y=0.569; 23: expected image-upper (y<=0.55), got y=0.576",6.0,single_axis_position,single_axis_position(+6.0)
66,cate8-00293_jpg.rf.2ffa30334a6f21e3b8b37f949b769f7c.txt,cate8-00293,31,1,26x2,2,"36, 46",1,0,False,"26: expected image-upper (y<=0.55), got y=0.554",5.1,duplicate_codes,"duplicate_codes(+3.0), single_axis_position(+2.0), missing_codes(+0.10)"
67,cate6-00123_jpg.rf.4908a9aab82c38f83005ec64c6071d98.txt,cate6-00123,32,1,26x2,1,27,1,0,False,"26: expected image-upper (y<=0.55), got y=0.556",5.05,duplicate_codes,"duplicate_codes(+3.0), single_axis_position(+2.0), missing_codes(+0.05)"
68,cate6-00123_jpg.rf.932167347b283ea6c32564cbab145398.txt,cate6-00123,32,1,26x2,1,27,1,0,False,"26: expected image-upper (y<=0.55), got y=0.557",5.05,duplicate_codes,"duplicate_codes(+3.0), single_axis_position(+2.0), missing_codes(+0.05)"
69,cate6-00123_jpg.rf.c8e735c051fed483e84298a9cb8f17b3.txt,cate6-00123,32,1,26x2,1,27,1,0,False,"26: expected image-upper (y<=0.55), got y=0.554",5.05,duplicate_codes,"duplicate_codes(+3.0), single_axis_position(+2.0), missing_codes(+0.05)"
70,cate4-00111_jpg.rf.1d271e4bcca3671a387db2ec5f0d4341.txt,cate4-00111,33,1,12x2,0,-,0,0,False,-,5.0,duplicate_codes,"duplicate_codes(+3.0), overcount(+2.0)"
71,cate2-00029_jpg.rf.3b2920f66e2a769e3a3f6e4535ba5549.txt,cate2-00029,33,1,41x2,0,-,0,0,False,-,5.0,duplicate_codes,"duplicate_codes(+3.0), overcount(+2.0)"
72,cate2-00029_jpg.rf.12ba5d7beb113dd5e23698ef2c98dff5.txt,cate2-00029,33,1,41x2,0,-,0,0,False,-,5.0,duplicate_codes,"duplicate_codes(+3.0), overcount(+2.0)"
73,cate2-00029_jpg.rf.18be40d73e21136c043b185eece71e07.txt,cate2-00029,33,1,41x2,0,-,0,0,False,-,5.0,duplicate_codes,"duplicate_codes(+3.0), overcount(+2.0)"
74,cate1-00047_jpg.rf.bcf913fc3b431f25462c25c32c8435d7.txt,cate1-00047,33,1,23x2,0,-,0,0,False,-,5.0,duplicate_codes,"duplicate_codes(+3.0), overcount(+2.0)"
75,cate8-00263_jpg.rf.47776feb05a736b62558cca5fb2c532d.txt,cate8-00263,17,0,-,15,"11, 12, 13, 14, 16, 18, 21, 22, 25, 26, 28, 36, 38, 47, 48",2,0,False,"24: expected image-upper (y<=0.55), got y=0.556; 23: expected image-upper (y<=0.55), got y=0.552",4.75,single_axis_position,"single_axis_position(+4.0), missing_codes(+0.75)"
76,cate8-00089_jpg.rf.5851642e5be77ef0f87b5df7a27a6e75.txt,cate8-00089,25,0,-,7,"16, 18, 26, 28, 38, 46, 48",2,0,False,"11: expected image-upper (y<=0.55), got y=0.554; 21: expected image-upper (y<=0.55), got y=0.553",4.35,single_axis_position,"single_axis_position(+4.0), missing_codes(+0.35)"
77,cate8-00267_jpg.rf.82d6cf3a584b087ccf57a350888c18d2.txt,cate8-00267,29,0,-,3,"18, 36, 46",2,0,False,"48: expected image-lower (y>=0.45), got y=0.448; 38: expected image-lower (y>=0.45), got y=0.441",4.15,single_axis_position,"single_axis_position(+4.0), missing_codes(+0.15)"
